cohortId,atlasId,cohortName,startDay,endDay,count,ageInteraction
1781,1781,CKim_VRE_from_all_culture,-90,-1,FALSE,FALSE
1782,1782,CKim_MRSA_from_all_culture,-90,-1,FALSE,FALSE
1783,1783,CKim_CRE_from_all_culture,-90,-1,FALSE,FALSE
1784,1784,CKim_ESBL_from_all_culture,-90,-1,FALSE,FALSE
171,171,CKim_IV_aminoglycoside,-90,-31,FALSE,FALSE
172,172,CKim_IV_anti-pseudomonal_penicillin_and_cepha,-90,-31,FALSE,FALSE
173,173,CKim_IV_3rd_cepha,-90,-31,FALSE,FALSE
176,176,CKim_IV_macrolide,-90,-31,FALSE,FALSE
177,177,CKim_IV_FQ,-90,-31,FALSE,FALSE
180,180,CKim_IV_tmpsmx,-90,-31,FALSE,FALSE
179,179,CKim_IV_other_antibiotics,-90,-31,FALSE,FALSE
181,181,CKim_PO_cephalosporine,-90,-31,FALSE,FALSE
183,183,CKim_PO_macrolide,-90,-31,FALSE,FALSE
184,184,CKim_PO_FQ,-90,-31,FALSE,FALSE
185,185,CKim_PO_fosfomycin,-90,-31,FALSE,FALSE
187,187,CKim_PO_tmpsmx,-90,-31,FALSE,FALSE
186,186,CKim_PO_other_antibiotics,-90,-31,FALSE,FALSE
171,171,CKim_IV_aminoglycoside,-30,-1,FALSE,FALSE
172,172,CKim_IV_anti-pseudomonal_penicillin_and_cepha,-30,-1,FALSE,FALSE
173,173,CKim_IV_3rd_cepha,-30,-1,FALSE,FALSE
176,176,CKim_IV_macrolide,-30,-1,FALSE,FALSE
177,177,CKim_IV_FQ,-30,-1,FALSE,FALSE
180,180,CKim_IV_tmpsmx,-30,-1,FALSE,FALSE
179,179,CKim_IV_other_antibiotics,-30,-1,FALSE,FALSE
181,181,CKim_PO_cephalosporine,-30,-1,FALSE,FALSE
183,183,CKim_PO_macrolide,-30,-1,FALSE,FALSE
184,184,CKim_PO_FQ,-30,-1,FALSE,FALSE
185,185,CKim_PO_fosfomycin,-30,-1,FALSE,FALSE
187,187,CKim_PO_tmpsmx,-30,-1,FALSE,FALSE
186,186,CKim_PO_other_antibiotics,-30,-1,FALSE,FALSE
134,134,CKim_corticosteroid,-90,-1,FALSE,FALSE
119,119,CKim_hypertension,-365,0,FALSE,FALSE
120,120,CKim_type_2_diabetes_mellitus,-365,0,FALSE,FALSE
121,121,CKim_hyperlipidemia,-365,0,FALSE,FALSE
122,122,CKim_Cancer,-365,0,FALSE,FALSE
124,124,CKim_dementia,-365,0,FALSE,FALSE
125,125,CKim_osteoporosis,-365,0,FALSE,FALSE
126,126,CKim_bleeding,-365,0,FALSE,FALSE
127,127,CKim_kidney_stone,-365,0,FALSE,FALSE
129,129,CKim_chronic_kidney_disease,-365,0,FALSE,FALSE
130,130,CKim_end_stage_renal_disease,-365,0,FALSE,FALSE
146,146,CKim_depressive_disorder,-365,0,FALSE,FALSE
145,145,CKim_pregnancy,-365,0,FALSE,FALSE
165,165,CKim_BPH,-365,0,FALSE,FALSE
164,164,CKim_prostatitis,-365,0,FALSE,FALSE
132,132,CKim_pneumonia,-365,-1,FALSE,FALSE
133,133,CKim_sepsis,-365,-1,FALSE,FALSE
128,128,CKim_cystitis,-365,-1,FALSE,FALSE
163,163,CKim_nephritis,-365,-1,FALSE,FALSE
131,131,CKim_urinary_tract_infection,-365,-1,FALSE,FALSE
132,132,CKim_pneumonia,0,0,FALSE,FALSE
133,133,CKim_sepsis,0,0,FALSE,FALSE
131,131,CKim_urinary_tract_infection,0,0,FALSE,FALSE
128,128,CKim_cystitis,0,0,FALSE,FALSE
163,163,CKim_nephritis,0,0,FALSE,FALSE
135,135,CKim_urinary_catheter_or_urine_bag,0,0,FALSE,FALSE
136,136,CKim_continuous_intravenous_injection,0,0,FALSE,FALSE
137,137,CKim_tracheostomy,0,0,FALSE,FALSE
150,150,CKim_inpatient_visit,-90,-1,FALSE,FALSE
152,152,CKim_icu_visit,-90,-1,FALSE,FALSE
